metric;critical;variable;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
relative;yes;Emi|CO2|Energy;;;World;;-0.1;-0.05;0.05;0.1;EDGAR6;historical;;
relative;yes;Emi|CO2|Energy;;;DEU;;-0.2;-0.1;0.1;0.2;EDGAR6;historical;;
relative;yes;PE|Coal;;;;;-0.1;;;0.1;BP, IEA;historical;;
relative;yes;PE|Coal;;;World;;-0.2;;;0.2;BP, IEA;historical;;
difference;yes;PE|Oil;;;;;-2;;;2;;historical;;
difference;yes;PE|Oil;;;World;;-5;;;5;;historical;;
relative;yes;FE|Electricity;;Bal;;;-0.1;;;0.1;;historical;;
relative;yes;FE|Electricity;;Bal;World;;-0.2;;;0.2;;historical;;
absolute;yes;Price|Carbon;;;;2030;;;300;600;;;;
absolute;yes;Price|Carbon;;;;2050;;;;1000;;;;
absolute;yes;Price|Carbon;;;DEU;2030;50;100;400;800;;;;
absolute;yes;Price|Carbon;;;DEU;2050;100;150;600;1200;;;;
absolute;no;Price|Carbon;;;LAM, MEA, SSA, OAS, IND;2030, 2050;;;;200;;;;
absolute;yes;Emi|GHG;;Bal;DEU, USA, JPN, REF, CHA, CAZ, EUR;2050;-2000;-1000;0;500;;;;
absolute;no;Emi|GHG;;Bal;LAM, MEA, SSA, OAS, IND;2060;-2000;-1000;0;500;;;;
absolute;yes;Temperature|Global Mean;;Bal;;2100;;;1.5;1.55;;;;
relative;yes;Emi|CO2;;;;2030;-0.5;-0.3;;;;;2020;
relative;yes;Emi|CO2;;;;2030;-0.6;-0.4;;;;;2015;
relative;no;FE;;;;2030, 2040;-0.4;-0.2;;;;;2020;
absolute;yes;Price|Secondary Energy|Electricity;;Bal;;;5.56;;;;;;;
growthrate;yes;New Cap|Electricity|Solar|PV;;;;;;;0.5;1;;;;
relative;yes;Price|Carbon;;Bal;;2030, 2040, 2050;0;;;;;NPi;;
